Source,Category ID,Name,OVOKO ID,OVOKO Name,Level
BaseLinker,1730798,"Motoryzacja/Części samochodowe/Części karoserii/Błotniki/Listwy, nakładki",530,Błotniki i inne elementy,2
BaseLinker,1730799,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Stacyjki i kluczyki/Kluczyki",1477,Klucz / Karta zapłonu,3
BaseLinker,1730800,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki parkowania",1383,Czujnik parkowania PDC,3
BaseLinker,1730801,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Alternatory/Alternatory kompletne",252,Alternator,3
BaseLinker,1730802,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Nawigacje GPS fabryczne,1409,Konsola środkowa / Radio / GPS,3
BaseLinker,1730803,Motoryzacja/Części samochodowe/Układ paliwowy/Podgrzewacze,309,Podgrzewacz filtra paliwa,3
BaseLinker,1730804,Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Zawory EGR,1197,Zawór EGR,3
BaseLinker,1730805,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Sterowniki silnika",1153,Sterownik / Moduł zapłonu,3
BaseLinker,1730806,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Rozruszniki/Rozruszniki kompletne",256,Rozruszniki i inne elementy,2
BaseLinker,1730807,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Wentylatory chłodnicy/Wentylatory,233,Elektryczny wentylator chłodnicy,3
BaseLinker,1730808,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Moduły zapłonowe",1153,Sterownik / Moduł zapłonu,3
BaseLinker,1730809,Motoryzacja/Części samochodowe/Części karoserii/Zderzaki/Zderzaki,542,Zderzaki tylne i inne elementy,2
BaseLinker,1730811,Motoryzacja/Części samochodowe/Części karoserii/Maski/Maski,519,Pokrywa przednia / Maska silnika,3
BaseLinker,1730812,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Fotele, kanapy",958,Fotele / Kanapa / Komplet,3
BaseLinker,1730813,Motoryzacja/Części samochodowe/Części karoserii/Błotniki/Błotniki,530,Błotniki i inne elementy,2
BaseLinker,1730814,"Motoryzacja/Części samochodowe/Części karoserii/Progi/Listwy progowe, nakładki",1605,Listwa progowa,3
BaseLinker,1730815,Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Drzwi,1091,Części nadwozia i karoserie,2
BaseLinker,1730816,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Zagłówki,1529,Inne fotele,3
BaseLinker,1730817,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Sprzęt audio fabryczny/Głośniki,1893,Zestaw audio,3
BaseLinker,1730818,Motoryzacja/Części samochodowe/Układ zawieszenia/Sprężyny zawieszenia,1979,Zawieszenie przednie / Komplet,3
BaseLinker,1730819,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Panele sterowania, przełączniki",1031,Inne przełączniki i przyciski,3
BaseLinker,1730820,Motoryzacja/Części samochodowe/Układ zawieszenia/Amortyzatory i elementy/Amortyzatory,2095,Komplet sprężyn i amortyzatorów (przód i tył),3
BaseLinker,1730821,Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Lampy tylne,150,Lampy tylne i inne elementy,2
BaseLinker,1730822,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Materiały instalacyjne/Klemy",1204,Plus / Klema / Przewód akumulatora,3
BaseLinker,1730822,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Materiały instalacyjne/Klemy",1203,Minus / Klema / Przewód akumulatora,3
BaseLinker,1730823,Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Klapy bagażnika,1595,Klapa tylna / bagażnika,3
BaseLinker,1730824,Motoryzacja/Części samochodowe/Silniki i osprzęt/Silniki kompletne,250,Silnik i osprzęt,1
BaseLinker,1730825,Motoryzacja/Wyposażenie i akcesoria samochodowe/Literatura motoryzacyjna/Samochody/Instrukcje obsługi,1607,Instrukcja obsługi,3
BaseLinker,1730826,Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Listwy,1091,Części nadwozia i karoserie,2
BaseLinker,1730827,Motoryzacja/Części samochodowe/Części karoserii/Dachy/Relingi dachowe,1509,Relingi dachowe,3
BaseLinker,1730828,Motoryzacja/Wyposażenie i akcesoria samochodowe/Emblematy,515,Emblemat / Znaczek,3
BaseLinker,1730829,Motoryzacja/Wyposażenie i akcesoria samochodowe/Czujniki i kamery cofania/Czujniki cofania,577,Kamera cofania,3
BaseLinker,1730830,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Schowki, półki",1251,Inne części wnętrza samochodu,3
BaseLinker,1730831,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Moduły komfortu",1156,Sterownik / Moduł komfortu,3
BaseLinker,1730832,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Osłony, zaślepki",1251,Inne części wnętrza samochodu,3
BaseLinker,1730833,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Kratki nawiewu,809,Dysze / Kratki środkowego nawiewu deski rozdzielczej,3
BaseLinker,1730834,Motoryzacja/Części samochodowe/Silniki i osprzęt/Osłony silnika/Dolne,537,Osłony dolne,2
BaseLinker,1730835,Motoryzacja/Części samochodowe/Układ napędowy/Mosty/Tylne,455,Dyferencjały / Mechanizmy różnicowe osi tylnej,2
BaseLinker,1730840,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Rolety bagażnika,920,Roleta bagażnika,3
