baselinker_id,ovoko_id,confidence,baselinker_name,ovoko_name
1730800,1383,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki parkowania","Czujnik parkowania PDC"
1730801,323,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Alternatory/Alternatory kompletne","Kompletne silniki"
1730802,1504,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Nawigacje GPS fabryczne","Moduł / Sterownik GPS"
1730804,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Zawory EGR","Kompletne silniki"
1730805,322,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Sterowniki silnika","Silnik"
1730806,323,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Rozruszniki/Rozruszniki kompletne","Kompletne silniki"
1730807,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Wentylatory chłodnicy/Wentylatory","Silnik"
1730808,322,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Moduły zapłonowe","Silnik"
1730812,998,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Fotele, kanapy","Fotele tylne trzeciego rzędu"
1730814,1210,medium,"Motoryzacja/Części samochodowe/Części karoserii/Progi/Listwy progowe, nakładki","Próg"
1730815,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Drzwi","Drzwi"
1730818,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Sprężyny zawieszenia","Czujnik poziomowania zawieszenia osi przedniej"
1730820,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Amortyzatory i elementy/Amortyzatory","Czujnik poziomowania zawieszenia osi przedniej"
1730821,151,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Lampy tylne","Lampy tylne / Komplet"
1730823,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Klapy bagażnika","Tylna klapa bagażnika"
1730824,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Silniki kompletne","Kompletne silniki"
1730826,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Listwy","Drzwi"
1730827,1509,high,"Motoryzacja/Części samochodowe/Części karoserii/Dachy/Relingi dachowe","Relingi dachowe"
1730829,1201,medium,"Motoryzacja/Wyposażenie i akcesoria samochodowe/Czujniki i kamery cofania/Czujniki cofania","Czujnik"
1730834,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Osłony silnika/Dolne","Kompletne silniki"
1730840,283,medium,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Rolety bagażnika","Gaźnik"
1730842,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Zawiasy","Tylna klapa bagażnika"
1730844,303,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapki wlewu paliwa/Zamki i siłowniki","Siłownik klapki wlewu paliwa"
1730845,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Spryskiwacze reflektorów","Ramię wycieraczki szyby przedniej / czołowej"
1730846,130,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Dysze spryskiwaczy","Zbiornik płynu do spryskiwaczy szyby przedniej / czołowej"
1730849,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Przewody układów chłodzenia/Przewody chłodnic wody","Silnik"
1730852,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Sondy lambda","Kolektor wydechowy"
1730853,130,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Pompki spryskiwaczy","Zbiornik płynu do spryskiwaczy szyby przedniej / czołowej"
1730854,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawieszenie silnika/Poduszki silnika","Kompletne silniki"
1730857,899,high,"Motoryzacja/Części samochodowe/Części karoserii/Pasy przednie","Klamra przedniego pasa bezpieczeństwa"
1730859,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Zamki","Tylna klapa bagażnika"
1730860,1006,medium,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Liczniki, zegary","Zegar"
1730861,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Przewody powietrza turbosprężarki","Kompletne silniki"
1730862,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Przewody powietrza","Kompletne silniki"
1730863,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Siłowniki","Tylna klapa bagażnika"
1730869,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Pozostałe","Czujnik"
1730870,334,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Przekładnie kierownicze","Część elektroniczna układu kierowniczego"
1730872,898,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Pasy bezpieczeństwa","Klamra tylnego pasa bezpieczeństwa"
1730874,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Pompy podciśnieniowe","Kompletne silniki"
1730875,1097,medium,"Motoryzacja/Części samochodowe/Części karoserii/Dachy/Dachy","Dach"
1730877,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Kierownice powietrza","Silnik"
1730878,339,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Pompy wspomagania","Mocowanie pompy wspomagania układu kierowniczego"
1730880,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Kompresory klimatyzacji/Kompresory klimatyzacji","Inne elementy układu klimatyzacji A/C"
1730881,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Pozostałe","Kompletne silniki"
1730883,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Pozostałe","Inne części układu hamulcowego"
1730888,303,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapki wlewu paliwa/Klapki","Siłownik klapki wlewu paliwa"
1730889,1097,medium,"Motoryzacja/Części samochodowe/Części karoserii/Szyby/Szyberdachy","Dach"
1730890,139,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Lampy przednie","Lampy przednie / Komplet"
1730891,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Mechanizmy wycieraczek","Ramię wycieraczki szyby przedniej / czołowej"
1730892,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Zamki","Drzwi"
1730893,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Klamki zewnętrzne","Drzwi"
1730894,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Przepływomierze","Kompletne silniki"
1730899,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pompy wody/Pompy wody","Silnik"
1730900,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Kompletne turbosprężarki","Kompletne silniki"
1730901,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Głowice cylindrów/Głowice","Kompletne silniki"
1730902,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Obudowy filtrów powietrza","Kompletne silniki"
1730903,302,high,"Motoryzacja/Części samochodowe/Układ paliwowy/Pompy paliwa","Zbiornik paliwa"
1730906,1289,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Klaksony","Klakson"
1730907,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Zbiorniki wyrównawcze","Silnik"
1730908,1201,medium,"Motoryzacja/Części samochodowe/Oświetlenie/Czujniki/Poziomowania","Czujnik"
1730912,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Elementy napędu paska osprzętu/Koła pasowe","Kompletne silniki"
1730919,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Kolektory ssące","Kompletne silniki"
1730920,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Przewody klimatyzacji","Inne elementy układu klimatyzacji A/C"
1730921,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pozostałe","Silnik"
1730922,151,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Pozostałe","Lampy tylne / Komplet"
1730926,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Pozostałe","Ramię wycieraczki szyby przedniej / czołowej"
1730928,471,high,"Motoryzacja/Opony i felgi/Felgi/Do samochodów/Aluminiowe","Opony letnie R13"
1730959,283,medium,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Boczki bagażnika","Gaźnik"
1730969,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Chłodnice spalin","Kompletne silniki"
1730971,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Czujniki poziomu oleju","Kompletne silniki"
1730973,1210,medium,"Motoryzacja/Części samochodowe/Części karoserii/Progi/Progi","Próg"
1730974,754,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Boczki drzwi","Drzwi"
